"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2024","18,473.2","18,170.0","18,800.0","18,010.0","0.05K","1.78%"
"07/11/2024","18,150.0","18,200.0","18,249.0","18,103.0","0.05K","-0.44%"
"07/10/2024","18,230.0","18,300.0","18,300.0","18,100.0","0.05K","-0.33%"
"07/09/2024","18,290.0","18,324.9","18,324.9","18,150.0","0.02K","0.49%"
"07/08/2024","18,200.0","18,248.0","18,248.0","18,050.0","0.07K","0.55%"
"07/05/2024","18,100.0","18,350.0","18,350.0","18,016.0","0.07K","-1.34%"
"07/04/2024","18,345.0","18,199.0","18,349.0","18,199.0","0.10K","0.80%"
"07/03/2024","18,200.0","18,250.0","18,250.0","18,020.0","0.04K","-0.52%"
"07/02/2024","18,295.0","18,300.0","18,390.0","18,001.0","0.09K","-0.11%"
"07/01/2024","18,316.0","18,510.0","18,515.0","18,001.3","0.02K","-0.99%"
"06/28/2024","18,500.0","18,500.0","18,500.0","18,200.0","0.01K","0.54%"
"06/27/2024","18,400.0","18,101.0","18,400.0","18,101.0","0.02K","0.82%"
"06/26/2024","18,250.0","18,400.0","18,400.0","18,250.0","0.02K","-0.27%"
"06/25/2024","18,300.0","18,300.0","18,300.0","18,150.0","0.05K","-0.54%"
"06/24/2024","18,400.0","17,601.0","18,400.0","17,601.0","0.09K","1.10%"
"06/21/2024","18,200.0","18,182.0","18,399.9","18,000.0","0.11K","0.28%"
"06/20/2024","18,150.0","17,960.8","18,799.0","17,755.0","0.31K","-0.22%"
"06/14/2024","18,190.0","18,000.0","18,500.0","18,000.0","0.12K","-0.05%"
"06/13/2024","18,200.0","18,020.0","18,300.0","18,020.0","0.30K","0.83%"
"06/12/2024","18,050.0","18,005.0","18,050.0","18,005.0","0.01K","0.00%"
"06/11/2024","18,050.0","18,199.0","18,200.0","18,050.0","0.01K","-0.82%"
"06/10/2024","18,200.0","18,200.0","18,200.0","18,000.2","0.04K","0.00%"
"06/07/2024","18,200.0","18,250.0","18,898.0","18,200.0","0.20K","-0.82%"
